sampleTime,x,y,th,th1,th2,th3,th4,th5,th1m,th2m,th3m,th4m,th5m
20,0.16,-0.01,-0.14,0.14,-1.39,0,1.39,-0.01,0.14,-1.39,-6.28,1.39,-0.14
21,0.17,-0.01,-0.15,0.15,-1.39,0,1.39,-0.01,0.15,-1.39,-6.28,1.39,-0.15
22,0.18,-0.01,-0.16,0.16,-1.39,0,1.39,-0.01,0.16,-1.39,-6.28,1.39,-0.16
23,0.19,-0.01,-0.17,0.17,-1.38,0,1.38,-0.01,0.17,-1.38,-6.28,1.38,-0.17
24,0.2,-0.01,-0.17,0.18,-1.38,0,1.38,-0.01,0.18,-1.38,-6.28,1.38,-0.18
25,0.2,-0.01,-0.18,0.19,-1.38,0,1.38,-0.01,0.19,-1.38,-6.28,1.38,-0.19
26,0.21,-0.01,-0.19,0.2,-1.38,0,1.38,-0.01,0.2,-1.38,-6.28,1.38,-0.2
27,0.22,-0.01,-0.2,0.21,-1.38,0,1.38,-0.01,0.21,-1.38,-6.28,1.38,-0.21
28,0.23,-0.01,-0.21,0.22,-1.37,0,1.37,-0.01,0.22,-1.37,-6.28,1.37,-0.22
29,0.24,-0.01,-0.22,0.23,-1.37,0,1.37,-0.01,0.23,-1.37,-6.28,1.37,-0.23
30,0.25,-0.01,-0.23,0.24,-1.37,0,1.37,-0.01,0.24,-1.37,-6.28,1.37,-0.24
31,0.25,-0.01,-0.24,0.25,-1.37,0,1.37,-0.01,0.25,-1.37,-6.28,1.37,-0.25
32,0.26,-0.01,-0.25,0.26,-1.37,0,1.37,-0.01,0.26,-1.36,-6.28,1.36,-0.26
33,0.27,-0.01,-0.26,0.27,-1.36,0,1.36,-0.01,0.27,-1.36,-6.28,1.36,-0.27
34,0.28,-0.01,-0.27,0.28,-1.36,0,1.36,-0.02,0.28,-1.36,-6.28,1.36,-0.28
35,0.29,-0.01,-0.28,0.29,-1.36,0,1.36,-0.02,0.28,-1.36,-6.28,1.36,-0.29
36,0.29,-0.01,-0.29,0.29,-1.36,0,1.36,-0.02,0.29,-1.36,-6.28,1.36,-0.3
37,0.3,-0.01,-0.3,0.3,-1.35,0,1.35,-0.02,0.3,-1.35,-6.28,1.35,-0.3
38,0.31,-0.01,-0.31,0.31,-1.35,0,1.35,-0.02,0.31,-1.35,-6.28,1.35,-0.31
39,0.31,-0.01,-0.31,0.32,-1.35,0,1.35,-0.02,0.32,-1.35,-6.28,1.35,-0.32
40,0.32,-0.01,-0.32,0.33,-1.35,0,1.35,-0.02,0.33,-1.35,-6.28,1.35,-0.33
41,0.33,-0.01,-0.33,0.34,-1.35,0,1.35,-0.02,0.34,-1.35,-6.28,1.35,-0.34
42,0.34,-0.01,-0.34,0.35,-1.34,0,1.34,-0.02,0.34,-1.34,-6.28,1.34,-0.35
43,0.34,-0.01,-0.35,0.35,-1.34,0,1.34,-0.02,0.35,-1.34,-6.28,1.34,-0.35
44,0.35,-0.01,-0.35,0.36,-1.34,0,1.34,-0.02,0.36,-1.34,-6.28,1.34,-0.36
45,0.35,-0.01,-0.36,0.37,-1.34,0,1.34,-0.02,0.37,-1.34,-6.28,1.34,-0.37
46,0.36,-0.01,-0.37,0.38,-1.33,0,1.33,-0.02,0.38,-1.33,-6.28,1.33,-0.38
47,0.37,-0.01,-0.38,0.38,-1.33,0,1.33,-0.02,0.38,-1.33,-6.28,1.33,-0.38
48,0.37,-0.01,-0.38,0.39,-1.33,0,1.33,-0.02,0.39,-1.33,-6.28,1.33,-0.39
49,0.38,-0.01,-0.39,0.4,-1.33,0,1.33,-0.02,0.4,-1.33,-6.28,1.33,-0.4
50,0.39,-0.01,-0.4,0.41,-1.33,0,1.33,-0.02,0.41,-1.32,-6.28,1.32,-0.41
51,0.39,-0.01,-0.4,0.41,-1.32,0,1.32,-0.02,0.41,-1.32,-6.28,1.32,-0.41
52,0.4,-0.01,-0.41,0.42,-1.32,0,1.32,-0.02,0.42,-1.32,-6.28,1.32,-0.42
53,0.4,-0.01,-0.42,0.43,-1.32,0,1.32,-0.02,0.43,-1.32,-6.28,1.32,-0.43
54,0.41,-0.01,-0.42,0.43,-1.32,0,1.32,-0.02,0.43,-1.32,-6.28,1.32,-0.43
55,0.41,-0.01,-0.43,0.44,-1.31,0,1.31,-0.02,0.44,-1.31,-6.28,1.31,-0.44
56,0.42,-0.01,-0.43,0.44,-1.31,0,1.31,-0.02,0.45,-1.31,-6.28,1.31,-0.44
57,0.43,-0.01,-0.44,0.45,-1.31,0,1.31,-0.02,0.45,-1.31,-6.28,1.31,-0.45
58,0.43,-0.01,-0.45,0.46,-1.31,0,1.31,-0.02,0.46,-1.31,-6.28,1.31,-0.46
59,0.44,-0.01,-0.45,0.46,-1.3,0,1.3,-0.02,0.46,-1.3,-6.28,1.3,-0.46
60,0.44,-0.01,-0.46,0.47,-1.3,0,1.3,-0.02,0.47,-1.3,-6.28,1.3,-0.47
61,0.45,-0.01,-0.46,0.47,-1.3,0,1.3,-0.02,0.47,-1.3,-6.28,1.3,-0.47
62,0.45,-0.01,-0.47,0.48,-1.3,0,1.3,-0.02,0.48,-1.3,-6.28,1.3,-0.48
63,0.46,-0.01,-0.47,0.48,-1.29,0,1.29,-0.02,0.49,-1.29,-6.28,1.29,-0.48
64,0.46,-0.01,-0.48,0.49,-1.29,0,1.29,-0.02,0.49,-1.29,-6.28,1.29,-0.49
65,0.46,-0.01,-0.48,0.5,-1.29,0,1.29,-0.02,0.5,-1.29,-6.28,1.29,-0.49
66,0.47,-0.01,-0.49,0.5,-1.29,0,1.29,-0.02,0.5,-1.29,-6.28,1.29,-0.5
67,0.47,-0.01,-0.49,0.51,-1.29,0,1.29,-0.02,0.51,-1.29,-6.28,1.29,-0.5
68,0.48,-0.01,-0.5,0.51,-1.28,0,1.28,-0.02,0.51,-1.28,-6.28,1.28,-0.51
69,0.48,-0.01,-0.5,0.51,-1.28,0,1.28,-0.02,0.52,-1.28,-6.28,1.28,-0.52
70,0.49,-0.01,-0.51,0.52,-1.28,0,1.28,-0.02,0.52,-1.28,-6.28,1.28,-0.52
71,0.49,-0.01,-0.51,0.52,-1.28,0,1.28,-0.02,0.52,-1.28,-6.28,1.28,-0.52
72,0.5,-0.01,-0.52,0.53,-1.27,0,1.27,-0.02,0.53,-1.27,-6.28,1.27,-0.53
73,0.5,-0.01,-0.52,0.53,-1.27,0,1.27,-0.02,0.53,-1.27,-6.28,1.27,-0.53
74,0.5,-0.01,-0.52,0.54,-1.27,0,1.27,-0.02,0.54,-1.27,-6.28,1.27,-0.54
75,0.51,-0.01,-0.53,0.54,-1.27,0,1.27,-0.02,0.54,-1.27,-6.28,1.27,-0.54
76,0.51,-0.01,-0.53,0.54,-1.26,0,1.26,-0.02,0.55,-1.26,-6.28,1.26,-0.55
77,0.52,-0.01,-0.54,0.55,-1.26,0,1.26,-0.02,0.55,-1.26,-6.28,1.26,-0.55
78,0.52,-0.01,-0.54,0.55,-1.26,0,1.26,-0.02,0.55,-1.26,-6.28,1.26,-0.55
79,0.52,-0.01,-0.55,0.56,-1.26,0,1.26,-0.02,0.56,-1.26,-6.28,1.26,-0.56
80,0.53,-0.01,-0.55,0.56,-1.26,0,1.26,-0.02,0.56,-1.26,-6.28,1.26,-0.56
81,0.53,-0.01,-0.55,0.57,-1.25,0,1.25,-0.02,0.57,-1.25,-6.28,1.25,-0.57
82,0.53,-0.01,-0.56,0.57,-1.25,0,1.25,-0.02,0.57,-1.25,-6.28,1.25,-0.57
83,0.54,-0.01,-0.56,0.57,-1.25,0,1.25,-0.02,0.57,-1.25,-6.28,1.25,-0.57
84,0.54,-0.01,-0.56,0.58,-1.25,0,1.25,-0.02,0.58,-1.25,-6.28,1.25,-0.58
85,0.54,-0.01,-0.57,0.58,-1.24,0,1.24,-0.02,0.58,-1.24,-6.28,1.24,-0.58
86,0.55,-0.01,-0.57,0.58,-1.24,0,1.24,-0.02,0.59,-1.24,-6.28,1.24,-0.58
87,0.55,-0.01,-0.58,0.59,-1.24,0,1.24,-0.02,0.59,-1.24,-6.28,1.24,-0.59
88,0.55,-0.01,-0.58,0.59,-1.24,0,1.24,-0.02,0.59,-1.24,-6.28,1.24,-0.59
89,0.56,-0.01,-0.58,0.59,-1.23,0,1.23,-0.02,0.6,-1.23,-6.28,1.23,-0.59
90,0.56,-0.01,-0.59,0.6,-1.23,0,1.23,-0.02,0.6,-1.23,-6.28,1.23,-0.6
91,0.56,-0.01,-0.59,0.6,-1.23,0,1.23,-0.02,0.6,-1.23,-6.28,1.23,-0.6
92,0.57,-0.01,-0.59,0.6,-1.23,0,1.23,-0.02,0.61,-1.23,-6.28,1.23,-0.6
93,0.57,-0.01,-0.6,0.61,-1.23,0,1.23,-0.02,0.61,-1.23,-6.28,1.23,-0.61
94,0.57,-0.01,-0.6,0.61,-1.22,0,1.22,-0.02,0.61,-1.22,-6.28,1.22,-0.61
95,0.58,-0.01,-0.6,0.61,-1.22,0,1.22,-0.02,0.62,-1.22,-6.28,1.22,-0.61
96,0.58,-0.01,-0.61,0.62,-1.22,0,1.22,-0.02,0.62,-1.22,-6.28,1.22,-0.62
97,0.58,-0.01,-0.61,0.62,-1.22,0,1.22,-0.02,0.62,-1.22,-6.28,1.22,-0.62
98,0.58,-0.01,-0.61,0.63,-1.21,0,1.21,-0.02,0.63,-1.21,-6.28,1.21,-0.62
99,0.59,-0.01,-0.61,0.63,-1.21,0,1.21,-0.02,0.63,-1.21,-6.28,1.21,-0.62
100,0.59,-0.01,-0.62,0.63,-1.21,0,1.21,-0.02,0.63,-1.21,-6.28,1.21,-0.63
101,0.59,-0.01,-0.62,0.63,-1.21,0,1.21,-0.02,0.63,-1.21,-6.28,1.21,-0.63
102,0.6,-0.01,-0.62,0.64,-1.21,0,1.21,-0.02,0.64,-1.21,-6.28,1.21,-0.63
103,0.6,-0.01,-0.62,0.64,-1.2,0,1.2,-0.02,0.64,-1.2,-6.28,1.2,-0.64
104,0.6,-0.01,-0.63,0.64,-1.2,0,1.2,-0.02,0.64,-1.2,-6.28,1.2,-0.64
105,0.6,-0.01,-0.63,0.64,-1.2,0,1.2,-0.02,0.64,-1.2,-6.28,1.2,-0.64
106,0.61,-0.01,-0.63,0.65,-1.2,0,1.2,-0.02,0.65,-1.2,-6.28,1.2,-0.64
107,0.61,-0.01,-0.63,0.65,-1.19,0,1.19,-0.02,0.65,-1.19,-6.28,1.19,-0.65
108,0.61,-0.01,-0.64,0.65,-1.19,0,1.19,-0.02,0.65,-1.19,-6.28,1.19,-0.65
109,0.61,-0.01,-0.64,0.65,-1.19,0,1.19,-0.02,0.65,-1.19,-6.28,1.19,-0.65
110,0.62,-0.01,-0.64,0.66,-1.19,0,1.19,-0.02,0.66,-1.19,-6.28,1.19,-0.66
111,0.62,-0.01,-0.64,0.66,-1.19,0,1.19,-0.02,0.66,-1.19,-6.28,1.19,-0.66
112,0.62,-0.01,-0.65,0.66,-1.18,0,1.18,-0.02,0.66,-1.18,-6.28,1.18,-0.66
113,0.63,-0.01,-0.65,0.66,-1.18,0,1.18,-0.02,0.66,-1.18,-6.28,1.18,-0.66
114,0.63,-0.01,-0.65,0.67,-1.18,0,1.18,-0.02,0.67,-1.18,-6.28,1.18,-0.67
115,0.64,-0.01,-0.66,0.67,-1.17,0,1.17,-0.02,0.67,-1.17,-6.28,1.17,-0.67
116,0.64,-0.01,-0.66,0.68,-1.17,0,1.17,-0.02,0.67,-1.17,-6.28,1.17,-0.68
117,0.65,-0.01,-0.66,0.68,-1.16,0,1.16,-0.02,0.68,-1.16,-6.28,1.16,-0.68
118,0.65,-0.01,-0.67,0.68,-1.16,0,1.16,-0.02,0.68,-1.16,-6.28,1.16,-0.68
119,0.66,-0.01,-0.67,0.69,-1.15,0,1.15,-0.02,0.69,-1.15,-6.28,1.15,-0.69
120,0.66,-0.01,-0.68,0.69,-1.15,0,1.15,-0.02,0.69,-1.15,-6.28,1.15,-0.69
121,0.66,-0.01,-0.68,0.7,-1.14,0,1.14,-0.02,0.7,-1.14,-6.28,1.14,-0.7
122,0.67,-0.01,-0.68,0.7,-1.14,0,1.14,-0.02,0.7,-1.14,-6.28,1.14,-0.7
123,0.67,-0.01,-0.69,0.71,-1.13,0,1.13,-0.02,0.71,-1.13,-6.28,1.13,-0.71
124,0.68,-0.01,-0.69,0.71,-1.13,0,1.13,-0.03,0.71,-1.13,-6.28,1.13,-0.71
125,0.68,-0.01,-0.7,0.72,-1.12,0,1.12,-0.03,0.72,-1.12,-6.28,1.12,-0.72
126,0.69,-0.01,-0.7,0.72,-1.12,0,1.12,-0.03,0.72,-1.12,-6.28,1.12,-0.72
127,0.69,-0.01,-0.7,0.73,-1.11,0,1.11,-0.03,0.73,-1.11,-6.28,1.11,-0.73
128,0.69,-0.01,-0.71,0.73,-1.11,0,1.11,-0.03,0.73,-1.11,-6.28,1.11,-0.73
129,0.7,-0.01,-0.71,0.74,-1.1,0,1.1,-0.03,0.74,-1.1,-6.28,1.1,-0.73
130,0.7,-0.01,-0.71,0.74,-1.1,0,1.1,-0.03,0.74,-1.1,-6.28,1.1,-0.74
131,0.7,-0.01,-0.72,0.74,-1.09,0,1.09,-0.03,0.74,-1.09,-6.28,1.09,-0.74
132,0.71,-0.01,-0.72,0.75,-1.09,0,1.09,-0.03,0.75,-1.09,-6.28,1.09,-0.75
133,0.71,-0.01,-0.72,0.75,-1.08,0,1.08,-0.03,0.75,-1.08,-6.28,1.08,-0.75
134,0.71,-0.01,-0.72,0.75,-1.08,0,1.08,-0.03,0.75,-1.08,-6.28,1.08,-0.75
135,0.72,-0.01,-0.73,0.76,-1.07,0,1.07,-0.03,0.76,-1.07,-6.28,1.07,-0.76
136,0.72,-0.01,-0.73,0.76,-1.07,0,1.07,-0.03,0.76,-1.07,-6.28,1.07,-0.76
137,0.72,-0.01,-0.73,0.76,-1.07,0,1.07,-0.03,0.76,-1.07,-6.28,1.07,-0.76
138,0.72,-0.01,-0.73,0.77,-1.06,0,1.06,-0.03,0.77,-1.06,-6.28,1.06,-0.76
139,0.73,-0.01,-0.73,0.77,-1.06,0,1.06,-0.03,0.77,-1.06,-6.28,1.06,-0.77
140,0.73,-0.01,-0.74,0.77,-1.05,0,1.05,-0.03,0.77,-1.05,-6.28,1.05,-0.77
141,0.73,-0.01,-0.74,0.77,-1.05,0,1.05,-0.03,0.77,-1.05,-6.28,1.05,-0.77
142,0.73,-0.01,-0.74,0.77,-1.05,0,1.05,-0.03,0.77,-1.05,-6.28,1.05,-0.77
143,0.73,-0.01,-0.74,0.77,-1.04,0,1.04,-0.03,0.77,-1.04,-6.28,1.04,-0.77
144,0.74,-0.01,-0.74,0.77,-1.04,0,1.04,-0.03,0.77,-1.04,-6.28,1.04,-0.77
145,0.74,-0.01,-0.74,0.77,-1.04,0,1.04,-0.03,0.77,-1.04,-6.28,1.04,-0.77
146,0.74,-0.01,-0.74,0.78,-1.03,0,1.03,-0.03,0.77,-1.03,-6.28,1.03,-0.77
147,0.74,-0.01,-0.74,0.78,-1.03,0,1.03,-0.03,0.78,-1.03,-6.28,1.03,-0.78
148,0.74,-0.01,-0.74,0.78,-1.03,0,1.03,-0.03,0.78,-1.03,-6.28,1.03,-0.78
149,0.75,-0.01,-0.75,0.78,-1.03,0,1.03,-0.03,0.78,-1.02,-6.28,1.02,-0.78
150,0.75,-0.01,-0.75,0.78,-1.02,0,1.02,-0.03,0.78,-1.02,-6.28,1.02,-0.78
151,0.75,-0.01,-0.75,0.78,-1.02,0,1.02,-0.03,0.78,-1.02,-6.28,1.02,-0.78
152,0.75,-0.01,-0.75,0.79,-1.02,0,1.02,-0.03,0.78,-1.02,-6.28,1.02,-0.78
153,0.75,-0.01,-0.75,0.79,-1.01,0,1.01,-0.03,0.78,-1.01,-6.28,1.01,-0.78
154,0.75,-0.01,-0.76,0.8,-1.01,0,1.01,-0.03,0.78,-1.01,-6.28,1.01,-0.78
155,0.76,-0.01,-0.76,0.8,-1.01,0,1.01,-0.03,0.79,-1.01,-6.28,1.01,-0.78
156,0.76,-0.01,-0.76,0.8,-1.01,0,1.01,-0.03,0.79,-1.01,-6.28,1.01,-0.78
157,0.76,-0.01,-0.76,0.8,-1,0,1,-0.03,0.8,-1,-6.28,1,-0.78
158,0.76,-0.01,-0.76,0.8,-1,0,1,-0.03,0.8,-1,-6.28,1,-0.78
159,0.76,-0.01,-0.76,0.8,-1,0,1,-0.03,0.81,-1,-6.28,1,-0.79
160,0.76,-0.01,-0.76,0.81,-1,0,1,-0.03,0.81,-1,-6.28,1,-0.79
161,0.76,-0.01,-0.76,0.81,-0.99,0,0.99,-0.03,0.81,-0.99,-6.28,0.99,-0.79
162,0.76,-0.01,-0.76,0.81,-0.99,0,0.99,-0.03,0.81,-0.99,-6.28,0.99,-0.79
163,0.76,-0.01,-0.76,0.81,-0.99,0,0.99,-0.04,0.81,-0.99,-6.28,0.99,-0.79
164,0.77,-0.01,-0.76,0.81,-0.99,0,0.99,-0.04,0.81,-0.99,-6.28,0.99,-0.79
165,0.77,-0.01,-0.76,0.81,-0.99,0,0.99,-0.04,0.81,-0.99,-6.28,0.99,-0.79
166,0.77,-0.01,-0.76,0.81,-0.98,0,0.98,-0.04,0.81,-0.98,-6.28,0.98,-0.79
167,0.77,-0.01,-0.76,0.81,-0.98,0,0.98,-0.05,0.81,-0.98,-6.28,0.98,-0.79
168,0.77,-0.01,-0.77,0.81,-0.98,0,0.98,-0.05,0.81,-0.98,-6.28,0.98,-0.79
169,0.77,-0.01,-0.77,0.81,-0.98,0,0.98,-0.05,0.81,-0.98,-6.28,0.98,-0.79
170,0.77,-0.01,-0.77,0.81,-0.98,0,0.98,-0.05,0.81,-0.98,-6.28,0.98,-0.79
171,0.77,-0.01,-0.77,0.81,-0.97,0,0.97,-0.05,0.81,-0.98,-6.28,0.98,-0.79
172,0.77,-0.01,-0.77,0.81,-0.97,0,0.97,-0.05,0.82,-0.97,-6.28,0.97,-0.8
173,0.77,-0.01,-0.77,0.81,-0.97,0,0.97,-0.05,0.82,-0.97,-6.28,0.97,-0.81
174,0.77,-0.01,-0.77,0.81,-0.97,0,0.97,-0.05,0.82,-0.97,-6.28,0.97,-0.81
175,0.78,-0.01,-0.77,0.81,-0.97,0,0.97,-0.05,0.82,-0.97,-6.28,0.97,-0.82
176,0.78,-0.01,-0.77,0.81,-0.97,0,0.97,-0.05,0.82,-0.97,-6.28,0.97,-0.82
177,0.78,-0.01,-0.77,0.81,-0.96,0,0.96,-0.05,0.82,-0.97,-6.28,0.97,-0.83
178,0.78,-0.01,-0.77,0.82,-0.96,0,0.96,-0.05,0.82,-0.96,-6.28,0.96,-0.83
179,0.78,-0.01,-0.77,0.82,-0.96,0,0.96,-0.05,0.82,-0.96,-6.28,0.96,-0.83
180,0.78,-0.01,-0.77,0.82,-0.96,0,0.96,-0.05,0.82,-0.96,-6.28,0.96,-0.83
181,0.78,-0.01,-0.77,0.82,-0.96,0,0.96,-0.05,0.82,-0.96,-6.28,0.96,-0.83
182,0.78,-0.01,-0.77,0.82,-0.96,0,0.96,-0.05,0.82,-0.96,-6.28,0.96,-0.83
183,0.78,-0.01,-0.77,0.82,-0.96,0,0.96,-0.05,0.82,-0.96,-6.28,0.96,-0.83
184,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.96,-6.28,0.96,-0.83
185,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.83
186,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.83
187,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.83
188,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.83
189,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.84
190,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.84
191,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.84
192,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.84
193,0.78,-0.01,-0.77,0.82,-0.95,0,0.95,-0.05,0.82,-0.95,-6.28,0.95,-0.84
194,0.78,-0.01,-0.77,0.82,-0.94,0,0.94,-0.05,0.82,-0.94,-6.28,0.94,-0.84
195,0.79,-0.01,-0.77,0.82,-0.94,0,0.94,-0.05,0.82,-0.94,-6.28,0.94,-0.84
196,0.79,-0.01,-0.77,0.82,-0.94,0,0.94,-0.05,0.82,-0.94,-6.28,0.94,-0.84
197,0.79,-0.01,-0.77,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
198,0.79,-0.01,-0.77,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
199,0.79,-0.01,-0.77,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
200,0.79,-0.01,-0.77,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
201,0.79,-0.01,-0.78,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
202,0.79,-0.01,-0.78,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
203,0.79,-0.01,-0.78,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
204,0.79,-0.01,-0.78,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
205,0.79,-0.01,-0.78,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
206,0.79,-0.01,-0.78,0.82,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
207,0.79,-0.01,-0.78,0.83,-0.94,0,0.94,-0.05,0.83,-0.94,-6.28,0.94,-0.84
208,0.79,-0.01,-0.78,0.83,-0.94,0,0.94,-0.05,0.83,-0.93,-6.28,0.93,-0.84
209,0.79,-0.01,-0.78,0.83,-0.93,0,0.93,-0.05,0.83,-0.93,-6.28,0.93,-0.84
210,0.79,-0.01,-0.78,0.83,-0.93,0,0.93,-0.05,0.83,-0.93,-6.28,0.93,-0.84
