sampleTime,x,y,th,th1,th2,th3,th4,th5,th1m,th2m,th3m,th4m,th5m
25,-0.22,-0.13,-0.04,-1.57,-1.5,-6.28,0.72,1.57,-1.57,-1.5,-6.28,0.72,1.57
26,-0.23,-0.14,-0.04,-1.57,-1.5,-6.28,0.72,1.57,-1.57,-1.5,-6.28,0.72,1.57
27,-0.24,-0.15,-0.04,-1.57,-1.5,-6.28,0.72,1.57,-1.57,-1.5,-6.28,0.71,1.57
28,-0.25,-0.15,-0.04,-1.57,-1.5,-6.28,0.71,1.57,-1.57,-1.5,-6.28,0.71,1.57
29,-0.26,-0.16,-0.04,-1.57,-1.5,-6.28,0.71,1.57,-1.57,-1.5,-6.28,0.71,1.57
30,-0.27,-0.17,-0.04,-1.57,-1.5,-6.28,0.71,1.57,-1.57,-1.5,-6.28,0.71,1.57
31,-0.28,-0.17,-0.04,-1.57,-1.5,-6.28,0.71,1.57,-1.57,-1.5,-6.28,0.71,1.57
32,-0.29,-0.18,-0.04,-1.57,-1.5,-6.28,0.71,1.57,-1.57,-1.5,-6.28,0.71,1.57
33,-0.3,-0.19,-0.04,-1.57,-1.49,-6.28,0.71,1.57,-1.57,-1.49,-6.28,0.71,1.57
34,-0.31,-0.19,-0.04,-1.57,-1.49,-6.28,0.71,1.57,-1.57,-1.49,-6.28,0.71,1.57
35,-0.32,-0.2,-0.04,-1.57,-1.49,-6.28,0.71,1.57,-1.57,-1.49,-6.28,0.71,1.57
36,-0.33,-0.2,-0.04,-1.57,-1.49,-6.28,0.71,1.57,-1.57,-1.49,-6.28,0.71,1.57
37,-0.34,-0.21,-0.04,-1.57,-1.49,-6.28,0.71,1.57,-1.57,-1.49,-6.28,0.71,1.57
38,-0.36,-0.22,-0.04,-1.57,-1.49,-6.28,0.7,1.57,-1.57,-1.49,-6.28,0.7,1.57
39,-0.37,-0.22,-0.04,-1.57,-1.49,-6.28,0.7,1.57,-1.57,-1.49,-6.28,0.7,1.57
40,-0.38,-0.23,-0.04,-1.57,-1.49,-6.28,0.7,1.57,-1.57,-1.49,-6.28,0.7,1.57
41,-0.39,-0.24,-0.04,-1.57,-1.49,-6.28,0.7,1.57,-1.57,-1.49,-6.28,0.7,1.57
42,-0.4,-0.24,-0.04,-1.57,-1.49,-6.28,0.7,1.57,-1.57,-1.49,-6.28,0.7,1.57
43,-0.41,-0.25,-0.04,-1.57,-1.48,-6.28,0.7,1.57,-1.57,-1.48,-6.28,0.7,1.57
44,-0.42,-0.26,-0.04,-1.57,-1.48,-6.28,0.7,1.57,-1.57,-1.48,-6.28,0.7,1.57
45,-0.43,-0.26,-0.03,-1.57,-1.48,-6.28,0.7,1.57,-1.57,-1.48,-6.28,0.7,1.57
46,-0.44,-0.27,-0.03,-1.57,-1.48,-6.28,0.7,1.57,-1.57,-1.48,-6.28,0.7,1.57
47,-0.45,-0.28,-0.03,-1.57,-1.48,-6.28,0.69,1.57,-1.57,-1.48,-6.28,0.69,1.57
48,-0.46,-0.28,-0.03,-1.57,-1.48,-6.28,0.69,1.57,-1.57,-1.48,-6.28,0.69,1.57
49,-0.47,-0.29,-0.03,-1.57,-1.48,-6.28,0.69,1.57,-1.57,-1.48,-6.28,0.69,1.57
50,-0.48,-0.3,-0.03,-1.57,-1.48,-6.28,0.69,1.57,-1.57,-1.48,-6.28,0.69,1.57
51,-0.49,-0.3,-0.03,-1.57,-1.47,-6.28,0.69,1.57,-1.57,-1.47,-6.28,0.69,1.57
52,-0.5,-0.31,-0.03,-1.57,-1.47,-6.28,0.69,1.57,-1.57,-1.47,-6.28,0.69,1.57
53,-0.51,-0.32,-0.03,-1.57,-1.47,-6.28,0.69,1.57,-1.57,-1.47,-6.28,0.69,1.57
54,-0.52,-0.33,-0.03,-1.57,-1.47,-6.28,0.68,1.57,-1.57,-1.47,-6.28,0.68,1.57
55,-0.52,-0.33,-0.03,-1.57,-1.47,-6.28,0.68,1.57,-1.57,-1.47,-6.28,0.68,1.57
56,-0.53,-0.34,-0.03,-1.57,-1.47,-6.28,0.68,1.57,-1.57,-1.47,-6.28,0.68,1.57
57,-0.54,-0.34,-0.03,-1.57,-1.46,-6.28,0.68,1.57,-1.57,-1.46,-6.28,0.68,1.57
58,-0.55,-0.35,-0.04,-1.57,-1.46,-6.28,0.68,1.57,-1.57,-1.46,-6.28,0.68,1.57
59,-0.56,-0.36,-0.04,-1.57,-1.46,-6.28,0.68,1.57,-1.57,-1.46,-6.28,0.68,1.57
60,-0.57,-0.36,-0.04,-1.57,-1.46,-6.28,0.68,1.57,-1.57,-1.46,-6.28,0.67,1.57
61,-0.58,-0.37,-0.04,-1.57,-1.46,-6.28,0.67,1.57,-1.57,-1.46,-6.28,0.67,1.57
62,-0.58,-0.37,-0.05,-1.57,-1.46,-6.28,0.67,1.57,-1.57,-1.46,-6.28,0.67,1.57
63,-0.59,-0.38,-0.05,-1.57,-1.46,-6.28,0.67,1.57,-1.57,-1.45,-6.28,0.67,1.57
64,-0.6,-0.38,-0.05,-1.57,-1.45,-6.28,0.67,1.57,-1.57,-1.45,-6.28,0.67,1.57
65,-0.61,-0.39,-0.05,-1.57,-1.45,-6.28,0.67,1.57,-1.57,-1.45,-6.28,0.67,1.57
66,-0.62,-0.39,-0.05,-1.57,-1.45,-6.28,0.67,1.57,-1.57,-1.45,-6.28,0.67,1.57
67,-0.62,-0.4,-0.06,-1.57,-1.45,-6.28,0.66,1.57,-1.57,-1.45,-6.28,0.66,1.57
68,-0.63,-0.4,-0.06,-1.57,-1.45,-6.28,0.66,1.57,-1.57,-1.45,-6.28,0.66,1.57
69,-0.64,-0.41,-0.06,-1.57,-1.45,-6.28,0.66,1.57,-1.57,-1.45,-6.28,0.66,1.57
70,-0.64,-0.41,-0.06,-1.57,-1.44,-6.28,0.66,1.57,-1.57,-1.44,-6.28,0.66,1.57
71,-0.65,-0.42,-0.06,-1.57,-1.44,-6.28,0.66,1.57,-1.57,-1.44,-6.28,0.66,1.57
72,-0.65,-0.42,-0.07,-1.57,-1.44,-6.28,0.66,1.57,-1.57,-1.44,-6.28,0.66,1.57
73,-0.66,-0.42,-0.08,-1.57,-1.44,-6.28,0.66,1.57,-1.57,-1.44,-6.28,0.65,1.57
74,-0.66,-0.43,-0.07,-1.57,-1.44,-6.28,0.65,1.57,-1.57,-1.44,-6.28,0.65,1.57
75,-0.67,-0.43,-0.06,-1.57,-1.44,-6.28,0.65,1.57,-1.57,-1.44,-6.28,0.65,1.57
76,-0.68,-0.43,-0.06,-1.57,-1.44,-6.28,0.65,1.57,-1.57,-1.44,-6.28,0.65,1.57
77,-0.68,-0.44,-0.06,-1.57,-1.43,-6.28,0.65,1.57,-1.57,-1.43,-6.28,0.65,1.57
78,-0.69,-0.44,-0.06,-1.57,-1.43,-6.28,0.65,1.57,-1.57,-1.43,-6.28,0.65,1.57
79,-0.69,-0.44,-0.07,-1.57,-1.43,-6.28,0.65,1.57,-1.57,-1.43,-6.28,0.65,1.57
80,-0.69,-0.44,-0.08,-1.57,-1.43,-6.28,0.65,1.57,-1.57,-1.43,-6.28,0.64,1.57
81,-0.7,-0.45,-0.07,-1.57,-1.43,-6.28,0.64,1.57,-1.57,-1.43,-6.28,0.64,1.57
82,-0.7,-0.45,-0.06,-1.57,-1.43,-6.28,0.64,1.57,-1.57,-1.43,-6.28,0.64,1.57
83,-0.71,-0.45,-0.05,-1.57,-1.43,-6.28,0.64,1.57,-1.57,-1.43,-6.28,0.64,1.57
84,-0.71,-0.46,-0.05,-1.57,-1.43,-6.28,0.64,1.57,-1.57,-1.42,-6.28,0.64,1.57
85,-0.72,-0.46,-0.05,-1.57,-1.42,-6.28,0.64,1.57,-1.57,-1.42,-6.28,0.64,1.57
86,-0.72,-0.46,-0.06,-1.57,-1.42,-6.28,0.64,1.57,-1.57,-1.42,-6.28,0.64,1.57
87,-0.72,-0.46,-0.06,-1.57,-1.42,-6.28,0.64,1.57,-1.57,-1.42,-6.28,0.64,1.57
88,-0.72,-0.46,-0.07,-1.57,-1.42,-6.28,0.63,1.57,-1.57,-1.42,-6.28,0.63,1.57
89,-0.73,-0.46,-0.08,-1.57,-1.42,-6.28,0.63,1.57,-1.57,-1.42,-6.28,0.63,1.57
90,-0.73,-0.47,-0.07,-1.57,-1.42,-6.28,0.63,1.57,-1.57,-1.42,-6.28,0.63,1.57
91,-0.74,-0.47,-0.06,-1.57,-1.42,-6.28,0.63,1.57,-1.57,-1.42,-6.28,0.63,1.57
92,-0.74,-0.48,-0.05,-1.57,-1.41,-6.28,0.63,1.57,-1.57,-1.41,-6.28,0.63,1.57
93,-0.75,-0.48,-0.05,-1.57,-1.41,-6.28,0.63,1.57,-1.57,-1.41,-6.28,0.63,1.57
94,-0.75,-0.48,-0.05,-1.57,-1.41,-6.28,0.63,1.57,-1.57,-1.41,-6.28,0.63,1.57
95,-0.75,-0.48,-0.05,-1.57,-1.41,-6.28,0.63,1.57,-1.57,-1.41,-6.28,0.63,1.57
96,-0.76,-0.48,-0.06,-1.57,-1.41,-6.28,0.63,1.57,-1.57,-1.41,-6.28,0.62,1.57
97,-0.76,-0.48,-0.06,-1.57,-1.41,-6.28,0.62,1.57,-1.57,-1.41,-6.28,0.62,1.57
98,-0.76,-0.48,-0.07,-1.57,-1.41,-6.28,0.62,1.57,-1.57,-1.41,-6.28,0.62,1.57
99,-0.76,-0.48,-0.07,-1.57,-1.41,-6.28,0.62,1.57,-1.57,-1.4,-6.28,0.62,1.57
100,-0.77,-0.49,-0.06,-1.57,-1.4,-6.28,0.62,1.57,-1.57,-1.4,-6.28,0.62,1.57
101,-0.77,-0.49,-0.05,-1.57,-1.4,-6.28,0.62,1.57,-1.57,-1.4,-6.28,0.62,1.57
102,-0.78,-0.5,-0.04,-1.57,-1.4,-6.28,0.62,1.57,-1.57,-1.4,-6.28,0.62,1.57
103,-0.78,-0.5,-0.04,-1.57,-1.4,-6.28,0.62,1.57,-1.57,-1.4,-6.28,0.62,1.57
104,-0.78,-0.5,-0.04,-1.57,-1.4,-6.28,0.62,1.57,-1.57,-1.4,-6.28,0.61,1.57
105,-0.79,-0.5,-0.04,-1.57,-1.4,-6.28,0.62,1.57,-1.57,-1.4,-6.28,0.61,1.57
106,-0.79,-0.5,-0.05,-1.57,-1.4,-6.28,0.61,1.57,-1.57,-1.4,-6.28,0.61,1.57
107,-0.79,-0.5,-0.05,-1.57,-1.4,-6.28,0.61,1.57,-1.57,-1.4,-6.28,0.61,1.57
108,-0.79,-0.5,-0.06,-1.57,-1.39,-6.28,0.61,1.57,-1.57,-1.39,-6.28,0.61,1.57
109,-0.79,-0.5,-0.06,-1.57,-1.39,-6.28,0.61,1.57,-1.57,-1.39,-6.28,0.61,1.57
110,-0.79,-0.5,-0.07,-1.57,-1.39,-6.28,0.61,1.57,-1.57,-1.39,-6.28,0.61,1.57
111,-0.8,-0.51,-0.06,-1.57,-1.39,-6.28,0.61,1.57,-1.57,-1.39,-6.28,0.6,1.57
112,-0.8,-0.51,-0.04,-1.57,-1.39,-6.28,0.6,1.57,-1.57,-1.39,-6.28,0.6,1.57
113,-0.81,-0.52,-0.04,-1.57,-1.39,-6.28,0.6,1.57,-1.57,-1.39,-6.28,0.6,1.57
114,-0.81,-0.52,-0.03,-1.57,-1.39,-6.28,0.6,1.57,-1.57,-1.39,-6.28,0.6,1.57
115,-0.82,-0.52,-0.03,-1.57,-1.39,-6.28,0.6,1.57,-1.57,-1.39,-6.28,0.6,1.57
116,-0.82,-0.52,-0.03,-1.57,-1.39,-6.28,0.6,1.57,-1.57,-1.39,-6.28,0.6,1.57
117,-0.82,-0.52,-0.04,-1.57,-1.39,-6.28,0.6,1.57,-1.57,-1.39,-6.28,0.6,1.57
118,-0.82,-0.52,-0.04,-1.57,-1.38,-6.28,0.6,1.57,-1.57,-1.38,-6.28,0.6,1.57
119,-0.82,-0.52,-0.04,-1.57,-1.38,-6.28,0.6,1.57,-1.57,-1.38,-6.28,0.6,1.57
120,-0.82,-0.52,-0.05,-1.57,-1.38,-6.28,0.59,1.57,-1.57,-1.38,-6.28,0.59,1.57
121,-0.82,-0.52,-0.05,-1.57,-1.38,-6.28,0.59,1.57,-1.57,-1.38,-6.28,0.59,1.57
122,-0.83,-0.52,-0.05,-1.57,-1.38,-6.28,0.59,1.57,-1.57,-1.38,-6.28,0.59,1.57
123,-0.83,-0.52,-0.06,-1.57,-1.38,-6.28,0.59,1.57,-1.57,-1.37,-6.28,0.59,1.57
124,-0.83,-0.53,-0.06,-1.57,-1.37,-6.28,0.59,1.57,-1.57,-1.37,-6.28,0.59,1.57
125,-0.83,-0.53,-0.05,-1.57,-1.37,-6.28,0.59,1.57,-1.57,-1.37,-6.28,0.59,1.57
126,-0.84,-0.53,-0.04,-1.57,-1.37,-6.28,0.59,1.57,-1.57,-1.37,-6.28,0.59,1.57
127,-0.84,-0.54,-0.03,-1.57,-1.37,-6.28,0.59,1.57,-1.57,-1.37,-6.28,0.59,1.57
128,-0.85,-0.54,-0.03,-1.57,-1.37,-6.28,0.59,1.57,-1.57,-1.37,-6.28,0.59,1.57
129,-0.85,-0.54,-0.03,-1.57,-1.37,-6.28,0.58,1.57,-1.57,-1.37,-6.28,0.58,1.57
130,-0.86,-0.55,-0.03,-1.57,-1.37,-6.28,0.58,1.57,-1.57,-1.36,-6.28,0.58,1.57
131,-0.87,-0.55,-0.02,-1.57,-1.36,-6.28,0.58,1.57,-1.57,-1.36,-6.28,0.58,1.57
132,-0.87,-0.56,-0.02,-1.57,-1.36,-6.28,0.57,1.57,-1.57,-1.36,-6.28,0.57,1.57
133,-0.88,-0.56,-0.02,-1.57,-1.36,-6.28,0.57,1.57,-1.57,-1.36,-6.28,0.57,1.57
134,-0.88,-0.56,-0.02,-1.57,-1.36,-6.28,0.57,1.57,-1.57,-1.35,-6.28,0.57,1.57
135,-0.89,-0.56,-0.02,-1.57,-1.35,-6.28,0.57,1.57,-1.57,-1.35,-6.28,0.57,1.57
136,-0.89,-0.56,-0.03,-1.57,-1.35,-6.28,0.56,1.57,-1.57,-1.35,-6.28,0.56,1.57
137,-0.9,-0.57,-0.02,-1.57,-1.34,-6.28,0.56,1.57,-1.57,-1.35,-6.28,0.56,1.57
138,-0.9,-0.57,-0.01,-1.57,-1.34,-6.28,0.56,1.57,-1.57,-1.34,-6.28,0.56,1.57
139,-0.91,-0.57,-0.01,-1.57,-1.34,-6.28,0.55,1.57,-1.57,-1.34,-6.28,0.55,1.57
140,-0.91,-0.58,0,-1.57,-1.34,-6.28,0.55,1.57,-1.57,-1.34,-6.28,0.55,1.57
141,-0.91,-0.58,0,-1.57,-1.34,-6.28,0.55,1.57,-1.57,-1.34,-6.28,0.55,1.57
142,-0.92,-0.58,-0.01,-1.57,-1.34,-6.28,0.55,1.57,-1.57,-1.33,-6.28,0.55,1.57
143,-0.92,-0.58,-0.01,-1.57,-1.34,-6.28,0.55,1.57,-1.57,-1.33,-6.28,0.55,1.57
144,-0.92,-0.58,-0.02,-1.57,-1.33,-6.28,0.55,1.57,-1.57,-1.33,-6.28,0.55,1.57
145,-0.92,-0.58,-0.02,-1.57,-1.33,-6.28,0.54,1.57,-1.57,-1.33,-6.28,0.55,1.57
146,-0.92,-0.58,-0.03,-1.57,-1.32,-6.28,0.54,1.57,-1.57,-1.33,-6.28,0.54,1.57
147,-0.93,-0.58,-0.03,-1.57,-1.32,-6.28,0.54,1.57,-1.57,-1.32,-6.28,0.54,1.57
148,-0.93,-0.58,-0.04,-1.57,-1.32,-6.28,0.53,1.57,-1.57,-1.32,-6.28,0.53,1.57
149,-0.93,-0.59,-0.02,-1.57,-1.32,-6.28,0.53,1.57,-1.57,-1.32,-6.28,0.53,1.57
150,-0.94,-0.59,-0.01,-1.57,-1.32,-6.28,0.53,1.57,-1.57,-1.32,-6.28,0.53,1.57
151,-0.94,-0.6,0,-1.57,-1.32,-6.28,0.53,1.57,-1.57,-1.31,-6.28,0.53,1.57
152,-0.94,-0.6,0,-1.57,-1.32,-6.28,0.53,1.57,-1.57,-1.31,-6.28,0.53,1.57
153,-0.95,-0.6,0.01,-1.57,-1.32,-6.28,0.53,1.57,-1.57,-1.31,-6.28,0.53,1.57
154,-0.95,-0.6,0.01,-1.57,-1.31,-6.28,0.53,1.57,-1.57,-1.31,-6.28,0.53,1.57
155,-0.95,-0.6,0,-1.57,-1.31,-6.28,0.53,1.57,-1.57,-1.31,-6.28,0.53,1.57
156,-0.95,-0.6,0,-1.57,-1.31,-6.28,0.53,1.57,-1.57,-1.31,-6.28,0.53,1.57
157,-0.95,-0.6,-0.01,-1.57,-1.31,-6.28,0.53,1.57,-1.57,-1.31,-6.28,0.53,1.57
158,-0.96,-0.6,-0.01,-1.57,-1.31,-6.28,0.52,1.57,-1.57,-1.31,-6.28,0.52,1.57
159,-0.96,-0.6,-0.01,-1.57,-1.3,-6.28,0.52,1.57,-1.57,-1.31,-6.28,0.52,1.57
160,-0.96,-0.6,-0.01,-1.57,-1.3,-6.28,0.52,1.57,-1.57,-1.31,-6.28,0.52,1.57
161,-0.96,-0.6,-0.02,-1.57,-1.3,-6.28,0.51,1.57,-1.57,-1.31,-6.28,0.52,1.57
162,-0.96,-0.6,-0.02,-1.57,-1.3,-6.28,0.51,1.56,-1.57,-1.3,-6.28,0.52,1.57
163,-0.96,-0.6,-0.02,-1.57,-1.3,-6.28,0.51,1.56,-1.57,-1.3,-6.28,0.51,1.57
164,-0.96,-0.6,-0.02,-1.57,-1.3,-6.28,0.51,1.57,-1.57,-1.3,-6.28,0.51,1.57
165,-0.96,-0.6,-0.03,-1.57,-1.3,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.51,1.57
166,-0.96,-0.6,-0.03,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.51,1.57
167,-0.96,-0.6,-0.03,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
168,-0.96,-0.6,-0.03,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
169,-0.96,-0.61,-0.03,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
170,-0.96,-0.61,-0.04,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
171,-0.96,-0.61,-0.04,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
172,-0.97,-0.61,-0.02,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
173,-0.97,-0.61,-0.01,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
174,-0.98,-0.62,0,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
175,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
176,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
177,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
178,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
179,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
180,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
181,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.51,1.57,-1.57,-1.29,-6.28,0.5,1.57
182,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.5,1.57,-1.57,-1.29,-6.28,0.5,1.57
183,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.5,1.57,-1.57,-1.29,-6.28,0.5,1.57
184,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.5,1.57,-1.57,-1.29,-6.28,0.5,1.57
185,-0.98,-0.62,0.01,-1.57,-1.29,-6.28,0.5,1.57,-1.57,-1.29,-6.28,0.5,1.57
186,-0.99,-0.62,0.01,-1.57,-1.29,-6.28,0.5,1.57,-1.57,-1.29,-6.28,0.5,1.57
187,-0.99,-0.62,0.01,-1.57,-1.29,-6.28,0.5,1.57,-1.57,-1.29,-6.28,0.5,1.57
188,-0.99,-0.62,0.01,-1.57,-1.28,-6.28,0.5,1.57,-1.57,-1.29,-6.28,0.5,1.57
189,-0.99,-0.62,0,-1.57,-1.28,-6.28,0.5,1.57,-1.57,-1.29,-6.28,0.5,1.57
190,-0.99,-0.62,0,-1.57,-1.28,-6.28,0.49,1.56,-1.57,-1.29,-6.28,0.5,1.57
191,-0.99,-0.62,0,-1.57,-1.27,-6.28,0.49,1.56,-1.57,-1.29,-6.28,0.5,1.57
192,-0.99,-0.62,0,-1.57,-1.27,-6.28,0.49,1.55,-1.57,-1.29,-6.28,0.5,1.57
193,-0.99,-0.62,0,-1.57,-1.27,-6.28,0.49,1.55,-1.57,-1.29,-6.28,0.5,1.57
194,-0.99,-0.62,0,-1.57,-1.27,-6.28,0.49,1.55,-1.57,-1.28,-6.28,0.5,1.57
195,-0.99,-0.62,0,-1.57,-1.27,-6.28,0.49,1.56,-1.57,-1.28,-6.28,0.5,1.57
196,-0.99,-0.62,0,-1.57,-1.27,-6.28,0.49,1.55,-1.57,-1.28,-6.28,0.5,1.57
197,-0.99,-0.62,0,-1.57,-1.27,-6.28,0.49,1.55,-1.57,-1.28,-6.28,0.5,1.57
198,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.55,-1.57,-1.28,-6.28,0.5,1.57
199,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.55,-1.57,-1.28,-6.28,0.5,1.57
200,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.56,-1.57,-1.28,-6.28,0.5,1.57
201,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.56,-1.57,-1.28,-6.28,0.5,1.57
202,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.56,-1.57,-1.28,-6.28,0.5,1.57
203,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.56,-1.57,-1.28,-6.28,0.49,1.57
204,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.56,-1.57,-1.27,-6.28,0.49,1.57
205,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.56,-1.57,-1.33,-6.17,0.43,1.57
206,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.38,-6.06,0.37,1.57
207,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.4,-6.02,0.35,1.57
208,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.4,-6.02,0.35,1.57
209,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.39,-6.04,0.36,1.57
210,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.39,-6.05,0.37,1.57
211,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.4,-6.02,0.35,1.57
212,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.41,-6,0.34,1.57
213,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.42,-5.98,0.33,1.57
214,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.42,-5.97,0.33,1.57
215,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.43,-5.95,0.32,1.57
216,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.44,-5.94,0.31,1.57
217,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.44,-5.93,0.3,1.57
218,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.45,-5.92,0.3,1.57
219,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.45,-5.91,0.29,1.57
220,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.46,-5.9,0.29,1.57
221,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.46,-5.89,0.29,1.57
222,-0.99,-0.62,-0.01,-1.57,-1.27,-6.28,0.49,1.57,-1.57,-1.46,-5.89,0.28,1.57
